url,post_create_at,answer_at,category,type,over_24
https://edstem.org/us/courses/21940/discussion/1490401,2022-05-07T17:30:14.933796+10:00,2022-05-09T21:26:19.099724+10:00,Lectures,question,1
https://edstem.org/us/courses/21940/discussion/1495451,2022-05-09T10:15:43.957710+10:00,2022-05-09T21:23:07.673149+10:00,Project 1,question,0

